ds_name,algo_name,hc_cat_encoder,J,exp_key,train_samples,train_dim,test_samples,test_dim,hc_name,fold,other_cat_encoder,measure,performance,hc_cat_encoder_baseline,performance_baseline,relative_performance
Adult,DT,mhe+te,8.0,DT_Adult_native-country_4_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,4.0,TargetEncoder,AUC,0.755759312694465,TargetEncoder,0.7598238509334495,0.9946506835314642
Adult,DT,mhe+te,8.0,DT_Adult_native-country_4_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,4.0,TargetEncoder,Accuracy,0.8310926090220433,TargetEncoder,0.8336859346208968,0.9968893254747871
Adult,DT,mhe+te,8.0,DT_Adult_native-country_4_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,4.0,TargetEncoder,Precision,0.6560196560196561,TargetEncoder,0.6613594611145132,0.991926016926017
Adult,DT,mhe+te,8.0,DT_Adult_native-country_4_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,4.0,TargetEncoder,Recall,0.6118590661701518,TargetEncoder,0.6187338871383558,0.9888888888888888
Adult,DT,mhe+te,8.0,DT_Adult_native-country_4_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,4.0,TargetEncoder,F1,0.6331702979101823,TargetEncoder,0.6393369838685807,0.990354560874792
Adult,DT,mhe+te,8.0,DT_Adult_native-country_4_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,4.0,TargetEncoder,Aver_precision,0.4938641053437262,TargetEncoder,0.5000401515414787,0.987648899435948
Adult,DT,mhe+te,8.0,DT_Adult_native-country_4_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,4.0,TargetEncoder,Balanced_accuracy,0.755759312694465,TargetEncoder,0.7598238509334495,0.9946506835314642
Adult,DT,mhe+te,8.0,DT_Adult_native-country_4_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,4.0,TargetEncoder,train_time(s),0.2025792598724365,TargetEncoder,0.2015597820281982,1.0050579427799524
Adult,DT,mhe+te,8.0,DT_Adult_native-country_4_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,4.0,TargetEncoder,pred_time(s),0.0018730163574218,TargetEncoder,0.0028860569000244,0.6489880214787049
Adult,DT,pca,21.0,DT_Adult_native-country_0_21_pca,34189.0,34.0,14653.0,34.0,native-country,0.0,TargetEncoder,AUC,0.7604197566298457,one-hot,0.7602131686732035,1.0002717500369045
Adult,DT,pca,21.0,DT_Adult_native-country_0_21_pca,34189.0,34.0,14653.0,34.0,native-country,0.0,TargetEncoder,Accuracy,0.8334129529789122,one-hot,0.8360062785777657,0.9968979591836734
Adult,DT,pca,21.0,DT_Adult_native-country_0_21_pca,34189.0,34.0,14653.0,34.0,native-country,0.0,TargetEncoder,Precision,0.6539866098600122,one-hot,0.6635514018691588,0.9855854542960748
Adult,DT,pca,21.0,DT_Adult_native-country_0_21_pca,34189.0,34.0,14653.0,34.0,native-country,0.0,TargetEncoder,Recall,0.6223573704025485,one-hot,0.6168549087749783,1.008920187793427
Adult,DT,pca,21.0,DT_Adult_native-country_0_21_pca,34189.0,34.0,14653.0,34.0,native-country,0.0,TargetEncoder,F1,0.6377800860661819,one-hot,0.6393516434038721,0.9975419515161902
Adult,DT,pca,21.0,DT_Adult_native-country_0_21_pca,34189.0,34.0,14653.0,34.0,native-country,0.0,TargetEncoder,Aver_precision,0.4960054020779265,one-hot,0.4996036175539076,0.9927978594438563
Adult,DT,pca,21.0,DT_Adult_native-country_0_21_pca,34189.0,34.0,14653.0,34.0,native-country,0.0,TargetEncoder,Balanced_accuracy,0.7604197566298456,one-hot,0.7602131686732034,1.0002717500369045
Adult,DT,pca,21.0,DT_Adult_native-country_0_21_pca,34189.0,34.0,14653.0,34.0,native-country,0.0,TargetEncoder,train_time(s),0.3032445907592773,one-hot,0.3032882213592529,0.9998561414624676
Adult,DT,pca,21.0,DT_Adult_native-country_0_21_pca,34189.0,34.0,14653.0,34.0,native-country,0.0,TargetEncoder,pred_time(s),0.0029356479644775,one-hot,0.0038897991180419,0.7547042598835506
Adult,DT,pca,21.0,DT_Adult_native-country_1_21_pca,34189.0,34.0,14653.0,34.0,native-country,1.0,TargetEncoder,AUC,0.7566709425294063,one-hot,0.7572692046395542,0.9992099743308158
Adult,DT,pca,21.0,DT_Adult_native-country_1_21_pca,34189.0,34.0,14653.0,34.0,native-country,1.0,TargetEncoder,Accuracy,0.8353920698833004,one-hot,0.8360062785777657,0.999265306122449
Adult,DT,pca,21.0,DT_Adult_native-country_1_21_pca,34189.0,34.0,14653.0,34.0,native-country,1.0,TargetEncoder,Precision,0.6763959390862944,one-hot,0.6781061328249126,0.9974779851474078
Adult,DT,pca,21.0,DT_Adult_native-country_1_21_pca,34189.0,34.0,14653.0,34.0,native-country,1.0,TargetEncoder,Recall,0.604994324631101,one-hot,0.6055618615209989,0.999062792877226
Adult,DT,pca,21.0,DT_Adult_native-country_1_21_pca,34189.0,34.0,14653.0,34.0,native-country,1.0,TargetEncoder,F1,0.6387058118633911,one-hot,0.6397841403087993,0.9983145433319311
Adult,DT,pca,21.0,DT_Adult_native-country_1_21_pca,34189.0,34.0,14653.0,34.0,native-country,1.0,TargetEncoder,Aver_precision,0.5042133157613646,one-hot,0.5054963326919001,0.9974618669858532
Adult,DT,pca,21.0,DT_Adult_native-country_1_21_pca,34189.0,34.0,14653.0,34.0,native-country,1.0,TargetEncoder,Balanced_accuracy,0.7566709425294063,one-hot,0.7572692046395542,0.9992099743308158
Adult,DT,pca,21.0,DT_Adult_native-country_1_21_pca,34189.0,34.0,14653.0,34.0,native-country,1.0,TargetEncoder,train_time(s),0.3032763004302978,one-hot,0.3032491207122803,1.0000896283489749
Adult,DT,pca,21.0,DT_Adult_native-country_1_21_pca,34189.0,34.0,14653.0,34.0,native-country,1.0,TargetEncoder,pred_time(s),0.0028936862945556,one-hot,0.0039219856262207,0.73781155015196
Adult,DT,pca,21.0,DT_Adult_native-country_2_21_pca,34189.0,34.0,14653.0,34.0,native-country,2.0,TargetEncoder,AUC,0.7636659387180091,one-hot,0.7654715641253566,0.9976411593951102
Adult,DT,pca,21.0,DT_Adult_native-country_2_21_pca,34189.0,34.0,14653.0,34.0,native-country,2.0,TargetEncoder,Accuracy,0.8346413703678428,one-hot,0.8358015423462772,0.9986119049563158
Adult,DT,pca,21.0,DT_Adult_native-country_2_21_pca,34189.0,34.0,14653.0,34.0,native-country,2.0,TargetEncoder,Precision,0.6750075369309617,one-hot,0.6773028296207104,0.9966111278598466
Adult,DT,pca,21.0,DT_Adult_native-country_2_21_pca,34189.0,34.0,14653.0,34.0,native-country,2.0,TargetEncoder,Recall,0.6247209821428571,one-hot,0.6277901785714286,0.995111111111111
Adult,DT,pca,21.0,DT_Adult_native-country_2_21_pca,34189.0,34.0,14653.0,34.0,native-country,2.0,TargetEncoder,F1,0.6488914650050718,one-hot,0.6516072980017377,0.9958321016277836
Adult,DT,pca,21.0,DT_Adult_native-country_2_21_pca,34189.0,34.0,14653.0,34.0,native-country,2.0,TargetEncoder,Aver_precision,0.5134814485426552,one-hot,0.516243441956376,0.9946498237280192
Adult,DT,pca,21.0,DT_Adult_native-country_2_21_pca,34189.0,34.0,14653.0,34.0,native-country,2.0,TargetEncoder,Balanced_accuracy,0.7636659387180091,one-hot,0.7654715641253566,0.9976411593951102
Adult,DT,pca,21.0,DT_Adult_native-country_2_21_pca,34189.0,34.0,14653.0,34.0,native-country,2.0,TargetEncoder,train_time(s),0.3032805919647217,one-hot,0.3022835254669189,1.003298448025782
Adult,DT,pca,21.0,DT_Adult_native-country_2_21_pca,34189.0,34.0,14653.0,34.0,native-country,2.0,TargetEncoder,pred_time(s),0.0028936862945556,one-hot,0.003892183303833,0.7434609494639972
Adult,DT,pca,21.0,DT_Adult_native-country_3_21_pca,34189.0,34.0,14653.0,34.0,native-country,3.0,TargetEncoder,AUC,0.7666707601323723,one-hot,0.7624174589888506,1.0055787037578634
Adult,DT,pca,21.0,DT_Adult_native-country_3_21_pca,34189.0,34.0,14653.0,34.0,native-country,3.0,TargetEncoder,Accuracy,0.8388725858186037,one-hot,0.8387360949976114,1.0001627339300243
Adult,DT,pca,21.0,DT_Adult_native-country_3_21_pca,34189.0,34.0,14653.0,34.0,native-country,3.0,TargetEncoder,Precision,0.6788343558282208,one-hot,0.6832493702770781,0.9935382092674788
Adult,DT,pca,21.0,DT_Adult_native-country_3_21_pca,34189.0,34.0,14653.0,34.0,native-country,3.0,TargetEncoder,Recall,0.6274454210377091,one-hot,0.615253756733768,1.019815668202765
Adult,DT,pca,21.0,DT_Adult_native-country_3_21_pca,34189.0,34.0,14653.0,34.0,native-country,3.0,TargetEncoder,F1,0.6521290702814204,one-hot,0.6474712815157392,1.0071938152295763
Adult,DT,pca,21.0,DT_Adult_native-country_3_21_pca,34189.0,34.0,14653.0,34.0,native-country,3.0,TargetEncoder,Aver_precision,0.5156059775994334,one-hot,0.5129807638922212,1.0051175675424815
Adult,DT,pca,21.0,DT_Adult_native-country_3_21_pca,34189.0,34.0,14653.0,34.0,native-country,3.0,TargetEncoder,Balanced_accuracy,0.7666707601323723,one-hot,0.7624174589888506,1.0055787037578634
Adult,DT,pca,21.0,DT_Adult_native-country_3_21_pca,34189.0,34.0,14653.0,34.0,native-country,3.0,TargetEncoder,train_time(s),0.3022785186767578,one-hot,0.3032751083374023,0.9967139088133282
